Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count,length,Cosine Similarty (%)
pakistan,Tarek Fatah@TarekFatah,2008-11-21 14:51:32,True,618460,1983,2551,"""Sharia is a 
barbaric legal system.
#Pakistan is a disgrace to the world"" - @RichardDawkins",5:38 am · 20 Feb 2020,1,1K,38,481,#Pakistan,@RichardDawkins,2876074,2,92,23.570226039551585
pakistan,Waseem Malik@waseemalik65,2012-01-12 03:00:22,False,930,4201,1,"Good morning Pakistan
Are you ready for PSL-5?",10:29 am · 20 Feb 2020,1,14,3,4,,,0,0,46,33.33333333333333
pakistan,MR.D@lothbrokubbe,2017-09-12 18:44:52,False,99,409,0,"When u born again in Pakistan
You:-",10:31 am · 20 Feb 2020,0,9,2,7,,,0,0,35,37.79644730092272
pakistan,M.Usama@MUsama58953435,2019-04-10 12:29:12,False,10,18,0,"Beautiful People's And Beautiful Trophy.  

Thank God all the PSL matches are happening in Pakistan:
#PSL5ComesPakistan",5:59 am · 20 Feb 2020,0,11,1,2,#PSL5ComesPakistan,,0,0,119,22.941573387056174
pakistan,SAAD@Imranist_01,2020-02-06 13:39:51,False,1675,2581,0,"This is Karachi 
This is national stadium of Pakistan 
#PSL5
#PSL2020
#PSLV
#HBLPSLV",10:00 am · 20 Feb 2020,0,45,3,14,"#PSL5,#PSL2020,#PSLV,#HBLPSLV",,0,0,84,24.253562503633297
pakistan,Danish Khan@dk__december,2019-04-20 21:37:49,False,173,408,0,"This Time For Pakistan 
#PSL5ComesPakistan",5:47 am · 20 Feb 2020,0,13,1,2,#PSL5ComesPakistan,,0,0,42,44.721359549995796
pakistan,YaSiF یَاسِفْ@IamYasif,2016-02-25 18:28:14,False,24632,1359,19,President of Pakistan has inaugrated  #SibiMela2020,10:59 am · 20 Feb 2020,1,13,,12,#SibiMela2020,,0,0,51,40.824829046386306
pakistan,Ehsasezindigi@ehsasezindigi,2015-01-02 06:40:54,False,11196,11520,3,"""I left home in khaki and will come back in sabz hilali -- I have lost nothing but got everything that I desired"" Salam to the great hero of Pakistan Army Faiz Sultan Malik shaheed",3:53 am · 20 Feb 2020,1,14,,5,,,0,0,180,15.430334996209192
pakistan,ملکہ گلگت بلتستان@AlishbaQ_Gul,2014-09-22 07:41:00,False,714,190,2,"Pakistan justice system failed you 
Sorry Sister Rubab
#justiceforumerubab",1:12 am · 20 Feb 2020,1,23,,10,#justiceforumerubab,,0,0,74,33.33333333333333
pakistan,مہوش بلوچ@M_Balochi3,2019-12-11 13:41:42,False,2061,2557,0,"Peshawar Zalmi Chairman Javed Afridi, has requested President Arif Alvi to grant Sammy honorary citizenship of Pakistan .
#psl5comespakistan",8:06 am · 20 Feb 2020,0,36,1,4,#psl5comespakistan,,0,0,140,23.570226039551585
pakistan,Srivatsa@srivatsayb,2009-06-07 02:00:29,True,54110,1901,196,"Arnab 'Coward' Goswami, these traitors who were caught red-handed spying for Pakistan's ISI are the real TUKDE TUKDE gang

Why are you silent about them and targeting Kanhaiya & women of Shaheen Bagh?
 
PaidNazis @republic is trending #CantProtectTukdes & #ShaheenBaghChaos",10:59 pm · 19 Feb 2020,0,925,36,410,"#CantProtectTukdes,#ShaheenBaghChaos",@republic,814742,0,273,15.07556722888818
pakistan,ThePakistan@ThePakistan01,2019-11-06 23:27:49,False,53,49,0,"The biggest news of the Century, Sir Umar Akmal agreed to play psl in Pakistan.
 #OPPOxPSL
#PSL5",8:48 am · 20 Feb 2020,1,31,,4,"#OPPOxPSL,#PSL5",,0,0,96,22.941573387056174
pakistan,Farha Perween@Farha_Perween,2019-11-11 20:50:10,False,1589,95,0,"#Noticeable
1. List of Navy Sailors spying for Pakistan.
(Most of them are upper caste)

2. List of CRPF Jawan died in Pulwama attack.
(Most of them were lower caste)",5:46 am · 20 Feb 2020,1,66,1,30,#Noticeable,,0,0,166,14.142135623730951
pakistan,Muhammad Zoraiz ur Rehman@UrZoraiz,2020-01-15 19:24:45,False,2,6,0,"A brave pakistani , daughter of Pakistan is fighting a MPA of sindh who murdered her father, her uncle. She is just 23years old. We stand with you till the end
#JusticeForUmeRubab",8:22 am · 20 Feb 2020,1,5,1,3,#JusticeForUmeRubab,,0,0,179,16.012815380508712
pakistan,Green Team@greenteam1992,2013-06-04 23:16:56,False,6557,9,14,"*Umar Akmal suspended under PCB Anti-Corruption Code*
 
The Pakistan Cricket Board today suspended Umar Akmal with immediate effect under Article 4.7.1* of the PCB Anti-Corruption Code, which means he cannot take part in any cricket-related activity pending the investigation.",10:39 am · 20 Feb 2020,1,6,,2,,,0,0,276,12.126781251816649
pakistan,Wajahat Ali@WajahatAli,2009-02-24 05:57:37,True,192454,1462,2245,"My father is an immigrant from Pakistan who came to this country 50 years ago. He's not an alarmist. This is the first time he has repeatedly asked where's the ""escape plan"" for his brown, Muslim grandchildren. Where can they go & be safe? It's sobering that he's thinking this.",3:49 am · 20 Feb 2020,0,10.8K,1.1K,1.8K,,,0,0,278,10.846522890932809
pakistan,Syed Talat Hussain@TalatHussain12,2011-04-22 07:21:57,True,3348675,0,1849,Tariq Pasha (Ishaq Dar’s most trusted x FBR chairman) and Mujtaba Memon  (Hafeez Shaikh’s buddy) r 2 names for FBR. Haroon Akhtar (Nawaz’s special advisor on revenue) is the choice for the old slot. The circus rolls without shame. Building Imran’s Pakistan with Nawaz’s team.,10:16 pm · 19 Feb 2020,0,3.2K,148,1.1K,,,0,0,275,11.043152607484654
pakistan,Debbie Abrahams@Debbie_abrahams,2010-12-12 16:48:07,True,49467,6241,845,"Very pleased to meet with @PakPMO this pm & to be given assurances that we can meet with whoever we wish while in #Pakistan There was openness & transparency to some tough questioning of #ForeignMinisterQureshi as well on HR issues inc terrorism in 
https://ohchr.org/Documents/Countries/IN/KashmirUpdateReport_8July2019.pdf…",10:25 pm · 19 Feb 2020,1,1.9K,209,574,"#Pakistan,#ForeignMinisterQureshi",@PakPMO,188773,1,325,12.216944435630522
pakistan,Muhammad Noman@Nomancricket29,2018-12-06 09:12:01,False,4815,5133,6,"Darren Sammy is getting Pakistan Nationality: @darensammy88 is getting PAKISTANI nationality.His services to bring International cricket in Pakistan is outstanding.
:Javed Afridi .#PSL5",1:09 am · 20 Feb 2020,1,73,1,6,#PSL5,@darensammy88,1448361,0,185,33.33333333333333
pakistan,Qamar Aziz@Gospel4Pakistan,2015-06-20 11:26:10,False,8782,8457,108,Go and make disciples  Please prayer for Bibles and other mission's needs. Thanks! https://paypal.com/paypalme2/ministrysupp4Pak…,10:12 am · 20 Feb 2020,0,2,,1,,,0,1,129,0.0
pakistan,mohammad abbas@abbasbobo,2012-07-26 09:51:11,False,56,144,0,"Two of the Patriotic citizen of Pakistan.
#علی_والے_اسیر_کیوں",10:38 pm · 19 Feb 2020,1,9,,9,#علی_والے_اسیر_کیوں,,0,0,61,31.622776601683793
pakistan,Wazeer Ahmed Dayo@WazeerDayoPPP,2015-02-09 05:16:59,False,2682,3171,1,#LAHORE Februray (19) A Delegation of Federal Union of Jornalists Called on Chairman Pakistan Peoples Party (PPP) Bilawal Bhutto Zardari at Bilawal House Lahore and discussed about Current Political Situation and Chairman ppp Show Solldarity PFUJ Member and Senior Jornalist imdad,9:11 am · 20 Feb 2020,1,7,,1,#LAHORE,,0,0,280,13.245323570650438
pakistan,M. AHMAD@96MAHMAD,2018-11-20 10:34:42,False,87,1250,0,"Pakistan Cricket Board suspended Umar Akmal with immediate effect under Article 4.7.1 of the PCB Anti-Corruption Code, which means he cannot take part in any cricket-related activity.

#umarakmal",11:11 am · 20 Feb 2020,1,1,,,#umarakmal,,0,0,195,17.14985851425088
